resume_text,job_role
Python TensorFlow PyTorch Deep Learning Neural Networks,Machine Learning Engineer
Python Machine Learning TensorFlow Scikit-learn Data Modeling,Machine Learning Engineer
PyTorch Deep Learning Computer Vision Python,Machine Learning Engineer
Machine Learning NLP TensorFlow Python Feature Engineering,Machine Learning Engineer
Python Deep Learning Neural Networks TensorFlow,Machine Learning Engineer
Python TensorFlow PyTorch Deep Learning Neural Networks,Machine Learning Engineer
Python Machine Learning TensorFlow Scikit-learn Data Modeling,Machine Learning Engineer
PyTorch Deep Learning Computer Vision Python,Machine Learning Engineer
Machine Learning NLP TensorFlow Python Feature Engineering,Machine Learning Engineer
Python Deep Learning Neural Networks TensorFlow,Machine Learning Engineer
Python Pandas NumPy Statistics Data Science,Data Scientist
Python Data Analysis Pandas Machine Learning,Data Scientist
Statistics Data Science Python Visualization,Data Scientist
NumPy Pandas Scikit-learn Data Mining,Data Scientist
Python Data Science Feature Engineering Analytics,Data Scientist
Python Pandas NumPy Statistics Data Science,Data Scientist
Python Data Analysis Pandas Machine Learning,Data Scientist
Statistics Data Science Python Visualization,Data Scientist
NumPy Pandas Scikit-learn Data Mining,Data Scientist
Python Data Science Feature Engineering Analytics,Data Scientist
Excel SQL Tableau Power BI Dashboard,Data Analyst
SQL Data Visualization Excel Reporting,Data Analyst
Power BI Tableau Analytics SQL,Data Analyst
Excel Dashboard Business Intelligence SQL,Data Analyst
Data Analysis SQL Excel Tableau,Data Analyst
Excel SQL Tableau Power BI Dashboard,Data Analyst
SQL Data Visualization Excel Reporting,Data Analyst
Power BI Tableau Analytics SQL,Data Analyst
Excel Dashboard Business Intelligence SQL,Data Analyst
Data Analysis SQL Excel Tableau,Data Analyst
HTML CSS JavaScript React Tailwind,Frontend Developer
React JavaScript CSS Responsive Design,Frontend Developer
Frontend Development React HTML CSS,Frontend Developer
JavaScript React NextJS Tailwind,Frontend Developer
HTML CSS React UI UX,Frontend Developer
HTML CSS JavaScript React Tailwind,Frontend Developer
React JavaScript CSS Responsive Design,Frontend Developer
Frontend Development React HTML CSS,Frontend Developer
JavaScript React NextJS Tailwind,Frontend Developer
HTML CSS React UI UX,Frontend Developer
Python Django PostgreSQL REST API,Backend Developer
Flask MySQL Backend Development APIs,Backend Developer
Django REST Framework PostgreSQL Python,Backend Developer
Backend Development Flask APIs Database,Backend Developer
Python Django Authentication PostgreSQL,Backend Developer
Python Django PostgreSQL REST API,Backend Developer
Flask MySQL Backend Development APIs,Backend Developer
Django REST Framework PostgreSQL Python,Backend Developer
Backend Development Flask APIs Database,Backend Developer
Python Django Authentication PostgreSQL,Backend Developer
React Django PostgreSQL JavaScript,Full Stack Developer
Full Stack Development React Backend APIs,Full Stack Developer
HTML CSS JavaScript Django Python,Full Stack Developer
React Flask MySQL Full Stack,Full Stack Developer
Frontend Backend Integration React Django,Full Stack Developer
React Django PostgreSQL JavaScript,Full Stack Developer
Full Stack Development React Backend APIs,Full Stack Developer
HTML CSS JavaScript Django Python,Full Stack Developer
React Flask MySQL Full Stack,Full Stack Developer
Frontend Backend Integration React Django,Full Stack Developer
Docker Kubernetes AWS CI CD,DevOps Engineer
DevOps Jenkins Docker Linux,DevOps Engineer
AWS Kubernetes Terraform Automation,DevOps Engineer
CI CD Docker Cloud Infrastructure,DevOps Engineer
Linux Docker Monitoring DevOps,DevOps Engineer
Docker Kubernetes AWS CI CD,DevOps Engineer
DevOps Jenkins Docker Linux,DevOps Engineer
AWS Kubernetes Terraform Automation,DevOps Engineer
CI CD Docker Cloud Infrastructure,DevOps Engineer
Linux Docker Monitoring DevOps,DevOps Engineer
Cyber Security Penetration Testing Network Security,Cyber Security Analyst
Ethical Hacking Vulnerability Assessment,Cyber Security Analyst
Security Analysis Incident Response,Cyber Security Analyst
Network Security SIEM Cyber Security,Cyber Security Analyst
Penetration Testing OWASP Security,Cyber Security Analyst
Cyber Security Penetration Testing Network Security,Cyber Security Analyst
Ethical Hacking Vulnerability Assessment,Cyber Security Analyst
Security Analysis Incident Response,Cyber Security Analyst
Network Security SIEM Cyber Security,Cyber Security Analyst
Penetration Testing OWASP Security,Cyber Security Analyst
Java Android Studio Mobile Development,Android Developer
Kotlin Android SDK UI Development,Android Developer
Android App Development Java,Android Developer
Kotlin Firebase Android Studio,Android Developer
Mobile Development Android APIs,Android Developer
Java Android Studio Mobile Development,Android Developer
Kotlin Android SDK UI Development,Android Developer
Android App Development Java,Android Developer
Kotlin Firebase Android Studio,Android Developer
Mobile Development Android APIs,Android Developer
Artificial Intelligence LLM NLP Python,AI Engineer
Generative AI Machine Learning Python,AI Engineer
AI Engineering Deep Learning NLP,AI Engineer
Large Language Models Python AI,AI Engineer
Artificial Intelligence TensorFlow PyTorch,AI Engineer
Artificial Intelligence LLM NLP Python,AI Engineer
Generative AI Machine Learning Python,AI Engineer
AI Engineering Deep Learning NLP,AI Engineer
Large Language Models Python AI,AI Engineer
Artificial Intelligence TensorFlow PyTorch,AI Engineer
